靉靆,あいたい,雲のたなびくさま。,HARD,A
煽ち,あお,ものを煽るような風。,HARD,A
暴風,あかしまかぜ,「あからしまかぜ」とも。,HARD,A
暁闇,あかつきやみ,月のない夜明けの暗さ。,HARD,A
明星,あかぼし,明けの明星。,HARD,A
秋黴雨,あきついり,秋の長雨。,HARD,A
曙,あけぼの,夜が明け始めること。,HARD,A
朝月夜,あさづくよ,朝方のまだ残っている月。,HARD,A
朝朗け,あさぼら,夜が明け始めるころ。,HARD,A
朝靄,あさもや,朝方たちこめるもや。,HARD,A
油風,あぶらまじ,陰暦三月頃から吹く南風。,HARD,A
天霧る,あまぎ,空一面どにょりくもる。,HARD,A
雨催い,あまもよ,雨の降りそうなようす。,HARD,A
雷,いかずち,かみなり。,HARD,A
熅れ,いき,蒸されるような熱気。,HARD,A
十六夜,いざよい,陰暦十六日の夜の月。,HARD,A
鼬雲,いたちぐも,積乱雲の異名。,HARD,A
東南風,いなさ,南東の風。,HARD,A
電,いなずま,雷の光。,HARD,A
居待月,いまちづき,陰暦十八日の夜の月。,HARD,A
鰯雲,いわしぐも,巻積雲の別名。,HARD,A
淫雨,いんう,作物に有害である長雨。,HARD,A
鱗雲,うろこぐも,巻積雲の別名。,HARD,A
温気,うんき,蒸し暑さ。,HARD,A
雲霓,うんげい,雲とにじ。,HARD,A
盈月,えいげつ,満月に至るまでの月、また満月。,HARD,A
偃月,えんげつ,半月よりやや細い月。,HARD,A
掩蔽,えんぺい,月が星を隠すこと。,HARD,A
追風,おいて,順風。,HARD,A
御下がり,おさ,正月三が日に降る雨や雪。,HARD,A
朧月,おぼろづき,かすんで見える月。,HARD,A
颪,おろし,山から吹きおりてくる強風。,HARD,A
海市,かいし,しんきろう。,HARD,A
蜃楼,かいやぐら,しんきろう。,HARD,A
貝寄風,かいよせ,陰暦二月下旬に吹く西風。,HARD,A
暈,かさ,日・月のまわりにできる光の輪。,HARD,A
霞,かすみ,うすい霧。,HARD,A
鉄砧雲,かなとこぐも,発達した積乱雲。鉄床雲。,HARD,A
霹靂,かみとき,落雷。「かみとけ」とも。,HARD,A
空梅雨,からつゆ,雨の少ないつゆ時。,HARD,A
旱魃,かんばつ,雨が長期間降らないこと。,HARD,A
虧月,きげつ,満月から新月の間の月。,HARD,A
狐日和,きつねびより,降ったり照ったりの天気。,HARD,A
急霰,きゅうさん,急に降ってくる霰。,HARD,A
旭日,きょくじつ,朝日。,HARD,A
玉兎,ぎょくと,月の異名。,HARD,A
旭光,きょっこう,朝日の光。,HARD,A
煌星,きらぼし,暗夜にきらきら輝く星。,HARD,A
金烏,きんう,太陽の異名。,HARD,A
颶風,ぐふう,強風。,HARD,A
黒南風,くろはえ,つゆ初めに吹く南風。,HARD,A
薫風,くんぷう,さわやかな初夏の風。,HARD,A
月暈,げつうん,月の周りの光臨。,HARD,A
月虹,げっこう,月光により生じるにじ。,HARD,A
牽牛,けんぎゅう,ひこぼし。,HARD,A
膏雨,こうう,農作物を育てる雨。,HARD,A
虹蜺,こうげい,にじ。,HARD,A
皓月,こうげつ,明るく輝く月。,HARD,A
黄道,こうどう,地球から見た太陽の起動。,HARD,A
凩,こがらし,秋の末から吹く強い風、木枯らし。,HARD,A
小雨,こさめ,小降りの雨。,HARD,A
東風,こち,春、東から吹く風。,HARD,A
小糠雨,こぬかあめ,非常に細かく降る雨。,HARD,A
催花雨,さいかう,貝かを促すように降る雨。,HARD,A
狭霧,きり,霧。,HARD,A
朔風,さくふう,北風。,HARD,A
細雪,ささめゆき,細かく降る雪。,HARD,A
鯖雲,さばぐも,巻積雲の別名。,HARD,A
五月雨,さみだれ,陰暦五月ごろの長雨。,HARD,A
時雨,しぐれ,初冬の、時々降る小雨。,HARD,A
子午線,しごせん,北極・南極・天頂を結ぶ円。,HARD,A
東雲,しののめ,明け方。,HARD,A
屡雨,しばあめ,断続的に降る雨。,HARD,A
繁吹,しぶき,吹きつける雨。,HARD,A
風巻,しまき,激しく吹く風。,HARD,A
驟雨,しゅうう,にわか雨。,HARD,A
秋霖,しゅうりん,秋の長雨。,HARD,A
夙夜,しゅくや,朝早くから夜遅くまで。,HARD,A
春嵐,しゅんらん,春の嵐。,HARD,A
春霖,しゅんりん,なたねづゆ。,HARD,A
蕭蕭,しょうしょう,風雨のものさびしいさま。,HARD,A
松籟,しょうらい,松のこずえを吹く風。,HARD,A
